text,label
gayfortoday.blogspot.com/2007/10/edward-douglas-scott-montagu-3rd-baron.html,0
imdb.com/name/nm0933098/,0
www.freewebs.com/chaplaingrabthar/,0
live.montrealgazette.com/,0
railways.library.ualberta.ca/Chapters-7-2/,0
qlncydlxidolvryh.pl/data/info.php,1
en.usenet.nl/registration/,0
www.trebleheartbooks.com/Index.html,0
unh.edu/lambdachi/zetas.html,0
www.iroquoissprings.com/staff-positions.html,0
prolink.co.il/creativeminds/,1
203.143.83.201/~jeweller/microsoft.secure.encryptedmail.service.login/microsoft.secure.encryptedmail.service.login/microsoft.secure.encryptedmail.service.login/763528482739423908665316258358992185381/index.php?loginid=abuse@lkshields.ie,1
questia.com/library/book/robert-louis-stevenson-a-critical-biography-vol-1-by-john-a-steuart.jsp,0
en.wikipedia.org/wiki/Melissa_Altro,0
join.exploitedfame.com/,0
911tabs.com/tabs/e/erik_mongrain/,0
depts.drew.edu/lib/readinglight/fall07/pilgrims.htm,0
worthpoint.com/worthopedia/1910-1911-newsy-lalonde-hockey-card-117802517,0
vindirect.co.nz/www.paypal.co.uk1/encripted/,1
mebdco.com/8759j3f434,1
yellowpages.ca/bus/Quebec/Montreal/Little-Burgundy/4386651.html,0
twitlonger.com/show/dt585k,0
robertsoncounty.ky.gov/services/local.htm,0
living4u.80port.net/zb/doc/file.index.htm/remax-securelogin_files/remax0-0secure0login_files/remax0-0secure0login_files/remax-securelogin_files/remax-securelogin_files/remax0-0secure0login_files/remax0-0secure0login_files/remax-securelogin/,1
docshawn.com/,0
bpafc.com/?page_id=19,0
ourhistory.canadiens.com/player/Bernard-Geoffrion,0
ohanbrothers.com/bestofpast2.htm,0
www.jecxse.com/m/7e21b048d7d8be154dfa90e495cc3a0a/,1
classicelcamino.com/,0
bookrags.com/Huey_P._Newton,0
planetmagrathea.com/22/81492/,0
filmbug.com/db/36634,0
wiki.answers.com/Q/What_is_Ludmilla_Tourischeva's_birthday,0
blanchingartikkeleitaan.innovzen.net/j0itta7cyf.php\nwww.4-bid.com/,1
ahtuttle.com/components/de-66451/ssl.signin.php?bidderblocklogin&amp;hc=1&amp;hm=uk`1d72f%20j2b2vi,1
bestbuy.com/site/Ashlin+-+Slim+Multimedia+Storage+Tower+-+Black/9425204.p?id=1218102968575&skuId=9425204,0
bookzworld.com/RG/Adobi/form,1
chiibea15.livejournal.com/4040.html,0
sbnation.com/nfl/2011/11/13/2558942/a-j-green-injury-bengals-rookie-wide-receiver-leaves-game-after-end,0
uk.reuters.com/article/2011/08/18/uk-venezuela-gold-idUKTRE77G53M20110818,0
intra.simonet.com.br/imagens/tmp/bbbkp/novocliente.htm,1
amazon.com/Triplettes-Belleville-Original-Subtitles-Collectors/dp/B0007W0AF6,0
experiencefestival.com/lachine_quebec_-_history/articleindex,0
ns2.r3resolve.com/,1
metacafe.com/watch/yt-Aa0NFIYTrd8/imagine_me_without_you_by_jaci_velasquez_filipina_version/,0
akcios-hoszigeteles.hu/tmp/custoner/security/login.php,1
wrecksite.eu/wreck.aspx?136745,0
www.runningmen-mk.de/aypvefi,1
docstoc.com/docs/59710170/International-Journal-of-Computer-Science,0
adhostingcache.com/,1
5.154.191.83/checkupdate,1
222.186.31.28:8898/g24,1
en.wikipedia.org/wiki/Beaudry,0
hometownchronicles.com/tx/wilson/,0
urbanlyrics.com/m.html,0
arrowheadpride.com/2011/8/8/2351211/kansas-city-chiefs-nfl-draft,0
en.wikipedia.org/wiki/Luc_Salvas,0
americansteelframeservices.com/,0
new.music.yahoo.com/francois-cousineau/,0
www.ws.binghamton.edu/fridrich/cube.html,0
teothemes.com/8g74crec?LUFKOr=SSBztob,1
forum.glassjaw.net/,0
njrangersfc.com/,0
wiki.answers.com/Q/What_did_Eddie_rochester_Anderson_die_from,0
petkasem.ac.th/banco.bradesco/KjUyGnBrEpJ4P7M5bgE563kJgb62KDJjhsxk573da3s5das6df6a4g6da46wgh54a.html?=KT5OCYQGSY8E9ODRRZQN2BZC4PMCAP2UJ6JV5ABW9JBH9O0ZNZNPBM2ECNRMDTHWY2S4B5ZKNB3V1BVOAIDL6F1H4R5GKMDJN6MZ0MKWYMSYXNM97ZUBFUTIMXZ8JCR7IE7S2QPZCHX06JICJCNY8GHUEH2XUT5C9A502U9DB7NHP6T0HH9PYPJC8LA2EFDMQIWRC55OBR72X1AFHJ5F0NSG93HMIV09D6ZQA5FMWMNTMY94HCJQZC78FNUXI56WA6NL0486PUYBS7F0JZ1IB7QQULODPTA1YYL92SDQMC3FJIP3HPLTWBKRX96N3FN2D90F1M6NY93HRRK9H63EHM7EVB2XROY5W8KWUQJTYMAPEVYV12AHNGWIRXGILENIM8FGXZ0WLKMZFKVGL6X0MTSDR9WDMKV9SBPQAZMWK9V1TRGFXEPJ9HXZPTDCE0L7KAWVAJRUSNUMEA2BPQVX9SXXMA01KU7564ZFNR0,1
www.rarahorizontravel.com/wp-includes/remax/index.htm,1
dibosmovie.blogspot.com/2007/10/21-grams-2003.html,0
www.acm.org/crossroads/doc/indices/features.html#Networking,0
cbc.ca/sports/football/story/2008/02/21/cfl-schedule.html,0
alu.hikonebebppw.info/u9bpzlnhlj\nwww.lavoro24.it/tutta_italia/offerte_di_lavoro_per22_posti_nuovi_posti_per_magazzinieri-62973.html,1
104.37.184.120/sshd,1
archiver.rootsweb.ancestry.com/th/read/MAPLYMOU/2002-04/1018839299,0
clickright.top/motion/plugin/admin.php,1
www.paypal.co.uk.4842.secure-190.mx/images/cgi.bin/uk/web.scr/?un=1&amp;cmnd=_lg&amp;nav,1
catchonfire.com/,0
picturesargentina.com.ar/,0
caughtoffside.com/2011/07/17/manchester-city-plan-summer-move-for-liverpool-midfielder/,0
imdb.com/name/nm2979897/,0
h2oiceland.com/cache/nupgrade/administrator_restore.htm,1
jhsph.edu/publichealthnews/press_releases/2009/rubenstein.html,0
en.wikipedia.org/wiki/Phil_Villapiano,0
us.7digital.com/artists/holly-gauthier-frankel/the-mysteries-of-alfred-hedgehog-original-theme-song/01-The-Mysteries-of-Alfred-Hedgehog-(Theme-Song)/,0
archive.org/details/LashLarue-SixGunHeroesComic60,0
top-marks.co.za/wp-content/uploads/2012/Trulia/index.htm,1
imdb.com/name/nm0005400/,0
aijcs.blogspot.com/2005/03/colourful-life-of-aij.html,1
agooddayforairplay.com/2011/08/pop-montreal-lineup-so-far/,0
closinglogos.com/page/Walt+Disney+Studios+Home+Entertainment+Coming+to+Videocassette%2FDVD+IDs,0
pastehtml.com/view/b2fefdved.html,1
chhs1973.org/,0
www.troubleshooters.com/codecorn/crashprf.htm,0
insiderpages.com/s/VT/Cambridge/Doctors?cs_category=Family+Practice+Doctors,0
myspace.com/kamalaharris,0
ca.linkedin.com/pub/alex-chiasson/5/589/859,0
animationmagazine.net/article.php?article_id=2596,0
acntransit.com/,0
heavenonearthsociety.info/secure/ssl/Loading.htm,1
www.cs.rmit.edu.au/cats03/,0
facebook.com/people/Robin-Salter/789841683,0
popstarsplus.com/actors_johnwayne.htm,0
www.trainingtools.com/online/hotmetal/,0
genforum.genealogy.com/stafford/all.html,0
psycholog-online.org/hb74,1
platinumwindowcleaning.com/wp-content/plugins/wpsecone/cmd.php?user=nse,1
